RESULT	增救.v 2100005001	救 1.0	保护 0.9	杀 0.8	护 0.7	接 0.6	放 0.5	保住 0.3999999999999999	延接 0.29999999999999993	生杀 0.19999999999999996
RESULT	放过.v 2102009033	放 1.0	放过 0.9	放心 0.8	放手 0.7	丢 0.6	留 0.5	忘 0.3999999999999999	扔 0.29999999999999993	丢掉 0.19999999999999996	留下 0.09999999999999998
RESULT	放过.v 2102015007	放过 1.0	放 0.9	过 0.8	漏 0.7	丢 0.6	弃 0.5	放下 0.3999999999999999	放弃 0.29999999999999993	错过 0.19999999999999996	留过 0.09999999999999998
RESULT	分厂.v 2102010002	分厂 1.0	厂 0.9	总 0.8	该 0.7	分 0.6	各 0.5	总厂 0.3999999999999999	工厂 0.29999999999999993	该厂 0.19999999999999996	本厂 0.09999999999999998
RESULT	分厂.v 2102013006	分厂 1.0	分 0.9	副 0.8	总 0.7	该 0.6	各 0.5	总厂 0.3999999999999999	本厂 0.29999999999999993	工厂 0.19999999999999996	该厂 0.09999999999999998
RESULT	分厂.v 2102015012	分厂 1.0	厂 0.9	所 0.8	分 0.7	总 0.6	部 0.5	总厂 0.3999999999999999	工厂 0.29999999999999993	本厂 0.19999999999999996	我厂 0.09999999999999998
RESULT	进行.v 2102010009	进行 1.0	行 0.9	的 0.8	进 0.7	做 0.6	作 0.5	行行 0.3999999999999999	实行 0.29999999999999993	实施 0.19999999999999996	完成 0.09999999999999998
RESULT	进行.v 2102013016	进行 1.0	的 0.9	做 0.8	作 0.7	行 0.6	经 0.5	行行 0.3999999999999999	实行 0.29999999999999993	经过 0.19999999999999996	完成 0.09999999999999998
RESULT	检测.v 2102010010	检测 1.0	测 0.9	检 0.8	查 0.7	验 0.6	试 0.5	检验 0.3999999999999999	检查 0.29999999999999993	监测 0.19999999999999996	测试 0.09999999999999998
RESULT	检测.v 2102013001	检测 1.0	该 0.9	有 0.8	工 0.7	测 0.6	各 0.5	检验 0.3999999999999999	检查 0.29999999999999993	监测 0.19999999999999996	测试 0.09999999999999998
RESULT	检测.v 2102013017	检测 1.0	后 0.9	测 0.8	查 0.7	检 0.6	时 0.5	检查 0.3999999999999999	检验 0.29999999999999993	监测 0.19999999999999996	测试 0.09999999999999998
RESULT	稳定器.v 2102010018	定线 1.0	稳定 0.9	电线 0.8	固定 0.7	电缆 0.6	螺丝 0.5	螺栓 0.3999999999999999	轴承 0.29999999999999993	断线 0.19999999999999996	固件 0.09999999999999998
RESULT	外带.v 2102010020	外带 1.0	带 0.9	的 0.8	外 0.7	内 0.6	管 0.5	外接 0.3999999999999999	外壳 0.29999999999999993	内部 0.19999999999999996	口径 0.09999999999999998
RESULT	尺寸.v 2102010028	尺寸 1.0	尺 0.9	的 0.8	寸 0.7	版 0.6	型 0.5	寸寸 0.3999999999999999	规格 0.29999999999999993	尺度 0.19999999999999996	方寸 0.09999999999999998
RESULT	误差.v 2102011006	误差 1.0	差 0.9	也 0.8	值 0.7	误 0.6	都 0.5	错误 0.3999999999999999	偏差 0.29999999999999993	差距 0.19999999999999996	差值 0.09999999999999998
RESULT	允许.v 2102011008	允许 1.0	许 0.9	有 0.8	对 0.7	好 0.6	准 0.5	不许 0.3999999999999999	可以 0.29999999999999993	许可 0.19999999999999996	禁止 0.09999999999999998
RESULT	还是.v 2102012006	还是 1.0	是 0.9	否 0.8	还 0.7	确 0.6	或 0.5	是否 0.3999999999999999	或是 0.29999999999999993	还要 0.19999999999999996	又是 0.09999999999999998
RESULT	定.v 2102012007	定 1.0	确定 0.9	认定 0.8	定为 0.7	定定 0.6	不定 0.5	否定 0.3999999999999999	指定 0.29999999999999993	以定 0.19999999999999996	判定 0.09999999999999998
RESULT	不合格品.v 2102012009	不合格品 1.0	合格 0.9	产品 0.8	不能 0.7	不良 0.6	不合 0.5	废品 0.3999999999999999	标准 0.29999999999999993	违规 0.19999999999999996	质量 0.09999999999999998
RESULT	不合格品.v 2102013035	假品 1.0	合格 0.9	劣品 0.8	废品 0.7	伪品 0.6	赝品 0.5	假货 0.3999999999999999	正品 0.29999999999999993	伪劣 0.19999999999999996	伪造 0.09999999999999998
RESULT	不合格品.v 2102014015	不合格品 1.0	问题 0.9	不良 0.8	不符 0.7	下降 0.6	合格 0.5	超标 0.3999999999999999	失控 0.29999999999999993	过关 0.19999999999999996	低下 0.09999999999999998
RESULT	正当.v 2102013000	正当 1.0	当 0.9	在 0.8	正 0.7	而 0.6	正在 0.5	待 0.3999999999999999	恰当 0.29999999999999993	更当 0.19999999999999996	当在 0.09999999999999998
RESULT	左右为难.v 2102013003	左右为难 1.0	为难 0.9	紧张 0.8	困惑 0.7	慌乱 0.6	左右 0.5	惶恐 0.3999999999999999	慌张 0.29999999999999993	恐慌 0.19999999999999996	困难 0.09999999999999998
RESULT	赶到.v 2102013008	赶到 1.0	到 0.9	在 0.8	来 0.7	赴 0.6	上 0.5	赶赴 0.3999999999999999	赶往 0.29999999999999993	来到 0.19999999999999996	趕到 0.09999999999999998
RESULT	亲自.v 2102013011	亲自 1.0	亲 0.9	自 0.8	并 0.7	又 0.6	也 0.5	亲身 0.3999999999999999	亲眼 0.29999999999999993	独自 0.19999999999999996	親自 0.09999999999999998
RESULT	果断.v 2102013019	果断 1.0	断 0.9	当 0.8	果 0.7	真 0.6	切 0.5	果然 0.3999999999999999	决断 0.29999999999999993	坚决 0.19999999999999996	毅然 0.09999999999999998
RESULT	报告单.v 2102013023	报告 1.0	报表 0.9	报报 0.8	告知 0.7	结果 0.6	文件 0.5	记录 0.3999999999999999	通知 0.29999999999999993	公告 0.19999999999999996	通告 0.09999999999999998
RESULT	如下.v 2102013028	如下 1.0	： 0.9	下 0.8	此 0.7	: 0.6	以下 0.5	如上 0.3999999999999999	如此 0.29999999999999993	样品 0.19999999999999996	下列 0.09999999999999998
RESULT	意见.v 2102013029	意见 1.0	意 0.9	话 0.8	的 0.7	见 0.6	点 0.5	见解 0.3999999999999999	建议 0.29999999999999993	见见 0.19999999999999996	意识 0.09999999999999998
RESULT	责成.v 2102013037	责成 1.0	由 0.9	成 0.8	请 0.7	将 0.6	向 0.5	责令 0.3999999999999999	完成 0.29999999999999993	责任 0.19999999999999996	責成 0.09999999999999998
RESULT	有关.v 2102013038	有关 1.0	有 0.9	该 0.8	关 0.7	其 0.6	原 0.5	相关 0.3999999999999999	相应 0.29999999999999993	无关 0.19999999999999996	所有 0.09999999999999998
RESULT	有关.v 2104015012	有关 1.0	各 0.9	该 0.8	关 0.7	本 0.6	相关 0.5	我 0.3999999999999999	地方 0.29999999999999993	主管 0.19999999999999996	政府 0.09999999999999998
RESULT	有关.v 2107007002	有关 1.0	各 0.9	关 0.8	多 0.7	的 0.6	相关 0.5	等 0.3999999999999999	政府 0.29999999999999993	各级 0.19999999999999996	主管 0.09999999999999998
RESULT	处理.v 2102013041	处理 1.0	处 0.9	理 0.8	办 0.7	处置 0.6	处罚 0.5	等 0.3999999999999999	了 0.29999999999999993	办理 0.19999999999999996	管理 0.09999999999999998
RESULT	召开.v 2102014004	召开 1.0	开 0.9	召 0.8	在 0.7	办 0.6	到 0.5	召集 0.3999999999999999	举行 0.29999999999999993	开开 0.19999999999999996	举办 0.09999999999999998
RESULT	大会.v 2102014006	大会 1.0	会 0.9	大 0.8	会议 0.7	组 0.6	议 0.5	们 0.3999999999999999	小会 0.29999999999999993	协会 0.19999999999999996	常会 0.09999999999999998
RESULT	一起.v 2102014011	一起 1.0	再 0.9	， 0.8	一 0.7	又 0.6	来 0.5	一同 0.3999999999999999	一一 0.29999999999999993	共同 0.19999999999999996	合作 0.09999999999999998
RESULT	讨论.v 2102014012	讨论 1.0	讨 0.9	谈 0.8	论 0.7	讲 0.6	问 0.5	谈论 0.3999999999999999	议论 0.29999999999999993	研究 0.19999999999999996	争论 0.09999999999999998
RESULT	出现.v 2102014013	出现 1.0	了 0.9	出 0.8	到 0.7	有 0.6	其 0.5	发现 0.3999999999999999	产品 0.29999999999999993	产生 0.19999999999999996	生产 0.09999999999999998
RESULT	正是.v 2102015000	正是 1.0	正 0.9	也 0.8	而 0.7	是 0.6	就是 0.5	更是 0.3999999999999999	只是 0.29999999999999993	正好 0.19999999999999996	正式 0.09999999999999998
RESULT	精神.v 2102015009	精神 1.0	精 0.9	心 0.8	神 0.7	爱 0.6	劲 0.5	勇气 0.3999999999999999	神气 0.29999999999999993	神奇 0.19999999999999996	毅力 0.09999999999999998
RESULT	钻具.v 2102015015	钻具 1.0	钻 0.9	钢 0.8	矿 0.7	管 0.6	油 0.5	钻床 0.3999999999999999	钻头 0.29999999999999993	工具 0.19999999999999996	管材 0.09999999999999998
RESULT	合格率.v 2102015018	合格 1.0	质量 0.9	安全 0.8	准确 0.7	确保 0.6	指标 0.5	品质 0.3999999999999999	效率 0.29999999999999993	通过 0.19999999999999996	认定 0.09999999999999998
RESULT	保持.v 2102015020	保持 1.0	为 0.9	保 0.8	是 0.7	在 0.6	持 0.5	维持 0.3999999999999999	保证 0.29999999999999993	持续 0.19999999999999996	坚持 0.09999999999999998
RESULT	先后.v 2102015023	先后 1.0	并 0.9	已 0.8	还 0.7	且 0.6	也 0.5	连续 0.3999999999999999	首次 0.29999999999999993	多次 0.19999999999999996	分别 0.09999999999999998
RESULT	先后.v 2103017010	先后 1.0	又 0.9	共 0.8	已 0.7	后 0.6	先 0.5	先後 0.3999999999999999	前后 0.29999999999999993	先前 0.19999999999999996	分别 0.09999999999999998
RESULT	获得.v 2102015024	获得 1.0	获 0.9	被 0.8	取得 0.7	通过 0.6	得 0.5	经 0.3999999999999999	荣获 0.29999999999999993	得到 0.19999999999999996	为 0.09999999999999998
RESULT	认定.v 2102015030	认定 1.0	认 0.9	奖 0.8	评 0.7	证 0.6	认证 0.5	定 0.3999999999999999	认可 0.29999999999999993	评定 0.19999999999999996	鉴定 0.09999999999999998
RESULT	实践.v 2102016001	实践 1.0	其 0.9	践 0.8	此 0.7	工 0.6	当 0.5	实际 0.3999999999999999	工作 0.29999999999999993	实战 0.19999999999999996	经验 0.09999999999999998
RESULT	体会.v 2102016005	体会 1.0	感 0.9	看 0.8	体 0.7	学 0.6	悟 0.5	感受 0.3999999999999999	感悟 0.29999999999999993	体悟 0.19999999999999996	体验 0.09999999999999998
RESULT	看作.v 2102016013	看作 1.0	作 0.9	当 0.8	做 0.7	看 0.6	为 0.5	当作 0.3999999999999999	视作 0.29999999999999993	视为 0.19999999999999996	看做 0.09999999999999998
RESULT	才能.v 2102016018	才能 1.0	才 0.9	能 0.8	会 0.7	来 0.6	不 0.5	方能 0.3999999999999999	不能 0.29999999999999993	能够 0.19999999999999996	只能 0.09999999999999998
RESULT	岂是.v 2103000002	是 1.0	非 0.9	不 0.8	无 0.7	： 0.6	岂非 0.5	不是 0.3999999999999999	竟是 0.29999999999999993	何非 0.19999999999999996	却是 0.09999999999999998
RESULT	岂是.v 2103020007	是 1.0	非 0.9	岂 0.8	无 0.7	不 0.6	岂非 0.5	不是 0.3999999999999999	竟是 0.29999999999999993	何为 0.19999999999999996	却是 0.09999999999999998
RESULT	垃圾.v 2103000003	垃圾 1.0	垃 0.9	圾 0.8	粪 0.7	废 0.6	大 0.5	废弃 0.3999999999999999	废物 0.29999999999999993	污水 0.19999999999999996	烂泥 0.09999999999999998
RESULT	垃圾.v 2103008006	垃圾 1.0	水 0.9	纸 0.8	鱼 0.7	其 0.6	粪 0.5	废纸 0.3999999999999999	废物 0.29999999999999993	粪便 0.19999999999999996	废料 0.09999999999999998
RESULT	垃圾.v 2103010011	垃圾 1.0	水 0.9	垃 0.8	圾 0.7	其 0.6	纸 0.5	废水 0.3999999999999999	废物 0.29999999999999993	污水 0.19999999999999996	粪便 0.09999999999999998
RESULT	垃圾.v 2103016007	垃圾 1.0	的 0.9	水 0.8	圾 0.7	物 0.6	鱼 0.5	废物 0.3999999999999999	废料 0.29999999999999993	废纸 0.19999999999999996	污水 0.09999999999999998
RESULT	垃圾.v 2103017018	垃圾 1.0	物 0.9	圾 0.8	水 0.7	垃 0.6	纸 0.5	废物 0.3999999999999999	废纸 0.29999999999999993	废料 0.19999999999999996	物品 0.09999999999999998
RESULT	垃圾.v 2103018009	垃圾 1.0	圾 0.9	垃 0.8	水 0.7	烟 0.6	物 0.5	废纸 0.3999999999999999	废物 0.29999999999999993	废料 0.19999999999999996	粪便 0.09999999999999998
RESULT	垃圾.v 2103019017	垃圾 1.0	水 0.9	的 0.8	纸 0.7	物 0.6	灰 0.5	废物 0.3999999999999999	杂物 0.29999999999999993	污泥 0.19999999999999996	废水 0.09999999999999998
RESULT	垃圾.v 2103020008	垃圾 1.0	圾 0.9	垃 0.8	粪 0.7	大 0.6	水 0.5	废弃 0.3999999999999999	污水 0.29999999999999993	废水 0.19999999999999996	污泥 0.09999999999999998
RESULT	垃圾.v 2103023011	垃圾 1.0	灰 0.9	水 0.8	纸 0.7	圾 0.6	尘 0.5	废物 0.3999999999999999	废纸 0.29999999999999993	废水 0.19999999999999996	污泥 0.09999999999999998
RESULT	垃圾.v 2103024018	垃圾 1.0	钱 0.9	水 0.8	瓶 0.7	圾 0.6	垃 0.5	废物 0.3999999999999999	废纸 0.29999999999999993	废品 0.19999999999999996	塑料 0.09999999999999998
RESULT	坑.v 2103000004	坑 1.0	垃圾 0.9	码头 0.8	池 0.7	大坑 0.6	沟 0.5	大坝 0.3999999999999999	地 0.29999999999999993	湖 0.19999999999999996	堆 0.09999999999999998
RESULT	坑.v 2103020009	坑 1.0	湖 0.9	沟 0.8	堆 0.7	洞 0.6	池 0.5	河 0.3999999999999999	场 0.29999999999999993	河道 0.19999999999999996	沟渠 0.09999999999999998
RESULT	见闻.v 2103000009	见闻 1.0	见 0.9	闻 0.8	图 0.7	前 0.6	游 0.5	闻闻 0.3999999999999999	视频 0.29999999999999993	知识 0.19999999999999996	见识 0.09999999999999998
RESULT	附.v 2103000011	附 1.0	附有 0.9	附上 0.8	包含 0.7	另附 0.6	加附 0.5	内含 0.3999999999999999	全部 0.29999999999999993	全程 0.19999999999999996	上传 0.09999999999999998
RESULT	图片.v 2103000012	图片 1.0	图 0.9	片 0.8	照 0.7	照片 0.6	上 0.5	近 0.3999999999999999	图像 0.29999999999999993	相片 0.19999999999999996	影片 0.09999999999999998
RESULT	查清.v 2103001001	查清 1.0	清 0.9	查 0.8	找 0.7	看 0.6	明 0.5	查明 0.3999999999999999	清除 0.29999999999999993	清理 0.19999999999999996	清楚 0.09999999999999998
RESULT	达.v 2103001016	达 1.0	达达 0.9	超过 0.8	时间 0.7	至少 0.6	大约 0.5	长达 0.3999999999999999	时期 0.29999999999999993	至多 0.19999999999999996	约 0.09999999999999998
RESULT	达.v 2104001016	达 1.0	达到 0.9	超过 0.8	高达 0.7	可达 0.6	突破 0.5	多达 0.3999999999999999	将近 0.29999999999999993	接近 0.19999999999999996	大约 0.09999999999999998
RESULT	达.v 2104004018	达 1.0	达到 0.9	超过 0.8	高达 0.7	有 0.6	接近 0.5	经 0.3999999999999999	到达 0.29999999999999993	多达 0.19999999999999996	不过 0.09999999999999998
RESULT	达.v 2105008004	达 1.0	达到 0.9	远达 0.8	超越 0.7	超过 0.6	看得 0.5	超 0.3999999999999999	远远 0.29999999999999993	找 0.19999999999999996	做 0.09999999999999998
RESULT	观察.v 2103001019	观察 1.0	观 0.9	察 0.8	看 0.7	视 0.6	查 0.5	视察 0.3999999999999999	观测 0.29999999999999993	检查 0.19999999999999996	察看 0.09999999999999998
RESULT	目睹.v 2103001021	目睹 1.0	看 0.9	睹 0.8	见 0.7	观 0.6	到 0.5	观察 0.3999999999999999	看到 0.29999999999999993	见证 0.19999999999999996	观看 0.09999999999999998
RESULT	客轮.v 2103001024	客轮 1.0	船 0.9	轮 0.8	客 0.7	客船 0.6	车 0.5	舶 0.3999999999999999	货轮 0.29999999999999993	货船 0.19999999999999996	游船 0.09999999999999998
RESULT	客轮.v 2103002008	客轮 1.0	船 0.9	轮 0.8	货轮 0.7	艇 0.6	舰 0.5	客船 0.3999999999999999	客 0.29999999999999993	货船 0.19999999999999996	游轮 0.09999999999999998
RESULT	客轮.v 2103005007	客轮 1.0	船 0.9	轮 0.8	客 0.7	货 0.6	号 0.5	货轮 0.3999999999999999	客船 0.29999999999999993	游轮 0.19999999999999996	班轮 0.09999999999999998
RESULT	客轮.v 2103009004	客轮 1.0	轮 0.9	船 0.8	也 0.7	将 0.6	又 0.5	货轮 0.3999999999999999	班轮 0.29999999999999993	游轮 0.19999999999999996	客船 0.09999999999999998
RESULT	客轮.v 2103015014	客轮 1.0	船 0.9	轮 0.8	货轮 0.7	也 0.6	舶 0.5	舰 0.3999999999999999	客船 0.29999999999999993	游轮 0.19999999999999996	船舶 0.09999999999999998
RESULT	客轮.v 2103017007	客轮 1.0	船 0.9	轮 0.8	货轮 0.7	舰 0.6	货 0.5	艇 0.3999999999999999	游轮 0.29999999999999993	货船 0.19999999999999996	客船 0.09999999999999998
RESULT	情形.v 2103001029	情形 1.0	景 0.9	况 0.8	情 0.7	情况 0.6	状 0.5	事 0.3999999999999999	情景 0.29999999999999993	状况 0.19999999999999996	景象 0.09999999999999998
RESULT	进入.v 2103002011	进入 1.0	入 0.9	进 0.8	出 0.7	离 0.6	到 0.5	出入 0.3999999999999999	进出 0.29999999999999993	驶入 0.19999999999999996	开入 0.09999999999999998
RESULT	闸室.v 2103002012	闸室 1.0	闸 0.9	港 0.8	室 0.7	海 0.6	舱 0.5	舱室 0.3999999999999999	港区 0.29999999999999993	港口 0.19999999999999996	航道 0.09999999999999998
RESULT	闸室.v 2103010013	闸室 1.0	闸 0.9	水 0.8	去 0.7	来 0.6	舱 0.5	舱室 0.3999999999999999	舱内 0.29999999999999993	仓库 0.19999999999999996	浴室 0.09999999999999998
RESULT	闸室.v 2103023002	闸室 1.0	闸 0.9	桥 0.8	室 0.7	门 0.6	楼 0.5	教室 0.3999999999999999	仓库 0.29999999999999993	浴室 0.19999999999999996	隧道 0.09999999999999998
RESULT	右舷.v 2103003007	舷 1.0	右舷 0.9	左舷 0.8	左 0.7	右 0.6	船 0.5	侧 0.3999999999999999	舷侧 0.29999999999999993	右舵 0.19999999999999996	右侧 0.09999999999999998
RESULT	闸.v 2103003009	闸 1.0	闸门 0.9	船闸 0.8	闸口 0.7	机舱 0.6	大闸 0.5	水闸 0.3999999999999999	航道 0.29999999999999993	操场 0.19999999999999996	舱门 0.09999999999999998
RESULT	闸.v 2103013003	闸 1.0	闸门 0.9	闸口 0.8	船闸 0.7	车闸 0.6	大闸 0.5	机舱 0.3999999999999999	舱 0.29999999999999993	车厢 0.19999999999999996	通道 0.09999999999999998
RESULT	闸.v 2103017014	闸 1.0	闸门 0.9	闸口 0.8	船闸 0.7	客轮 0.6	大闸 0.5	码头 0.3999999999999999	机舱 0.29999999999999993	航道 0.19999999999999996	客舱 0.09999999999999998
RESULT	闸.v 2103024023	闸 1.0	闸门 0.9	闸口 0.8	水箱 0.7	大闸 0.6	水槽 0.5	阀门 0.3999999999999999	电池 0.29999999999999993	水管 0.19999999999999996	箱 0.09999999999999998
RESULT	丢.v 2103003011	丢 1.0	扔 0.9	丢下 0.8	抛扔 0.7	抛 0.6	抛掉 0.5	丟 0.3999999999999999	砸 0.29999999999999993	拿 0.19999999999999996	投 0.09999999999999998
RESULT	丢.v 2103027008	丢 1.0	扔 0.9	抛 0.8	丢掷 0.7	丟 0.6	递 0.5	放 0.3999999999999999	砸 0.29999999999999993	掷 0.19999999999999996
RESULT	快餐.v 2103003014	快餐 1.0	饭 0.9	餐 0.8	食 0.7	冰 0.6	菜 0.5	速食 0.3999999999999999	早餐 0.29999999999999993	速递 0.19999999999999996	零食 0.09999999999999998
RESULT	盒.v 2103003015	盒 1.0	盒子 0.9	箱子 0.8	包子 0.7	食盒 0.6	袋子 0.5	包裹 0.3999999999999999	罐子 0.29999999999999993	馒头 0.19999999999999996	包包 0.09999999999999998
RESULT	扔.v 2103003017	扔 1.0	扔掉 0.9	丢 0.8	抛扔 0.7	丢掉 0.6	抛掉 0.5	丢下 0.3999999999999999	甩掉 0.29999999999999993	抛 0.19999999999999996	砸烂 0.09999999999999998
RESULT	扔.v 2103004009	扔 1.0	丢 0.9	抛 0.8	扔进 0.7	包裹 0.6	放 0.5	掷 0.3999999999999999	塞 0.29999999999999993	包装 0.19999999999999996	投 0.09999999999999998
RESULT	扔.v 2103007007	扔 1.0	扔进 0.9	丢 0.8	扔掉 0.7	抛 0.6	反倒 0.5	再放 0.3999999999999999	放 0.29999999999999993	掷 0.19999999999999996	塞 0.09999999999999998
RESULT	扔.v 2103018008	扔 1.0	抛扔 0.9	堆放 0.8	乱扔 0.7	丢 0.6	投掷 0.5	抛掷 0.3999999999999999	抛 0.29999999999999993	抛洒 0.19999999999999996	丢弃 0.09999999999999998
RESULT	十余次.v 2103003019	十次 1.0	数次 0.9	多次 0.8	一次 0.7	余次 0.6	十余 0.5	六次 0.3999999999999999	几次 0.29999999999999993	三次 0.19999999999999996	八次 0.09999999999999998
RESULT	轮.v 2103004002	轮 1.0	轮船 0.9	货轮 0.8	船 0.7	客轮 0.6	码头 0.5	游轮 0.3999999999999999	船身 0.29999999999999993	小轮 0.19999999999999996	大船 0.09999999999999998
RESULT	则.v 2103004004	则 1.0	也 0.9	， 0.8	还 0.7	亦 0.6	还是 0.5	甚至 0.3999999999999999	又 0.29999999999999993	至少 0.19999999999999996	同样 0.09999999999999998
RESULT	则.v 2103014005	则 1.0	随即 0.9	也 0.8	随后 0.7	亦 0.6	同时 0.5	同样 0.3999999999999999	甚至 0.29999999999999993	继续 0.19999999999999996	没有 0.09999999999999998
RESULT	将.v 2103004006	将 1.0	连同 0.9	拿着 0.8	把 0.7	持有 0.6	拿出 0.5	拿起 0.3999999999999999	手持 0.29999999999999993	手拿 0.19999999999999996	对 0.09999999999999998
RESULT	饭盒.v 2103004008	饭盒 1.0	饭 0.9	碗 0.8	蛋 0.7	盒 0.6	菜 0.5	餐盒 0.3999999999999999	食盒 0.29999999999999993	饭袋 0.19999999999999996	饭团 0.09999999999999998
RESULT	饭盒.v 2103006006	饭盒 1.0	饭 0.9	碗 0.8	酒 0.7	锅 0.6	盒 0.5	餐盒 0.3999999999999999	饭筒 0.29999999999999993	食盒 0.19999999999999996	饭桶 0.09999999999999998
RESULT	饭盒.v 2103007006	饭盒 1.0	饭 0.9	菜 0.8	碗 0.7	锅 0.6	钱 0.5	餐盒 0.3999999999999999	食物 0.29999999999999993	碗筷 0.19999999999999996	筷子 0.09999999999999998
RESULT	饭盒.v 2103013009	饭盒 1.0	饭 0.9	碗 0.8	盒 0.7	水 0.6	饼 0.5	餐盒 0.3999999999999999	食盒 0.29999999999999993	礼盒 0.19999999999999996	饭袋 0.09999999999999998
RESULT	饭盒.v 2103027007	饭盒 1.0	饭 0.9	碗 0.8	钱 0.7	米 0.6	盒 0.5	餐盒 0.3999999999999999	食物 0.29999999999999993	碗筷 0.19999999999999996	米饭 0.09999999999999998
RESULT	进闸.v 2103004010	闸 1.0	入 0.9	舱 0.8	在 0.7	门 0.6	进门 0.5	出舱 0.3999999999999999	入门 0.29999999999999993	出门 0.19999999999999996	下船 0.09999999999999998
RESULT	进闸.v 2103005014	进 1.0	出 0.9	入 0.8	过 0.7	开 0.6	进港 0.5	进入 0.3999999999999999	开闸 0.29999999999999993	入港 0.19999999999999996	出港 0.09999999999999998
RESULT	进闸.v 2103007008	闸 1.0	水 0.9	河 0.8	湖 0.7	海 0.6	进水 0.5	入水 0.3999999999999999	倒闸 0.29999999999999993	开闸 0.19999999999999996	出水 0.09999999999999998
RESULT	进闸.v 2103009012	进 1.0	出 0.9	闸 0.8	入 0.7	来 0.6	开闸 0.5	进港 0.3999999999999999	进口 0.29999999999999993	出港 0.19999999999999996	入港 0.09999999999999998
RESULT	进闸.v 2103015018	出 1.0	进 0.9	入 0.8	过 0.7	开 0.6	进港 0.5	进入 0.3999999999999999	开闸 0.29999999999999993	出港 0.19999999999999996	入港 0.09999999999999998
RESULT	进闸.v 2103017008	内 1.0	中 0.9	后 0.8	时 0.7	上 0.6	开闸 0.5	进港 0.3999999999999999	进场 0.29999999999999993	出港 0.19999999999999996	入港 0.09999999999999998
RESULT	燃料.v 2103005009	燃料 1.0	煤 0.9	油 0.8	核 0.7	水 0.6	燃 0.5	燃油 0.3999999999999999	燃气 0.29999999999999993	资料 0.19999999999999996	煤炭 0.09999999999999998
RESULT	货轮.v 2103005011	货轮 1.0	轮 0.9	船 0.8	货 0.7	舰 0.6	均 0.5	客轮 0.3999999999999999	货船 0.29999999999999993	邮轮 0.19999999999999996	船舶 0.09999999999999998
RESULT	货轮.v 2103008002	货轮 1.0	轮 0.9	船 0.8	货 0.7	号 0.6	舰 0.5	客轮 0.3999999999999999	货船 0.29999999999999993	邮轮 0.19999999999999996	码头 0.09999999999999998
RESULT	舷.v 2103006003	舷 1.0	侧 0.9	右舷 0.8	边 0.7	左舷 0.6	船上 0.5	桅 0.3999999999999999	舵 0.29999999999999993	船舷 0.19999999999999996	后方 0.09999999999999998
RESULT	扔下.v 2103006005	扔下 1.0	扔 0.9	丢 0.8	丢下 0.7	抛下 0.6	抛 0.5	拿 0.3999999999999999	下 0.29999999999999993	拿下 0.19999999999999996	放下 0.09999999999999998
RESULT	烟盒.v 2103006008	烟盒 1.0	烟 0.9	酒 0.8	煤 0.7	盒 0.6	枪 0.5	饭盒 0.3999999999999999	香烟 0.29999999999999993	药盒 0.19999999999999996	冰箱 0.09999999999999998
RESULT	船员.v 2103007013	船员 1.0	船 0.9	人 0.8	则 0.7	员 0.6	又 0.5	船长 0.3999999999999999	船工 0.29999999999999993	舰员 0.19999999999999996	人员 0.09999999999999998
RESULT	船员.v 2103008004	船员 1.0	船 0.9	人 0.8	员 0.7	手 0.6	鱼 0.5	船长 0.3999999999999999	人员 0.29999999999999993	舰员 0.19999999999999996	乘客 0.09999999999999998
RESULT	船员.v 2103010007	船员 1.0	船 0.9	人 0.8	员 0.7	队 0.6	男 0.5	人员 0.3999999999999999	队员 0.29999999999999993	艇员 0.19999999999999996	舰员 0.09999999999999998
RESULT	船员.v 2103014004	船员 1.0	船 0.9	人 0.8	员 0.7	女 0.6	， 0.5	舰员 0.3999999999999999	船长 0.29999999999999993	官员 0.19999999999999996	乘客 0.09999999999999998
RESULT	船员.v 2103018005	船员 1.0	船 0.9	人 0.8	员 0.7	舰 0.6	船长 0.5	船主 0.3999999999999999	舰员 0.29999999999999993	队员 0.19999999999999996	艇员 0.09999999999999998
RESULT	船员.v 2103026005	船员 1.0	船 0.9	人 0.8	员 0.7	舰 0.6	水 0.5	舰员 0.3999999999999999	人员 0.29999999999999993	艇员 0.19999999999999996	乘客 0.09999999999999998
RESULT	倒出.v 2103007014	倒出 1.0	倒 0.9	倒进 0.8	倒入 0.7	舀 0.6	出 0.5	拿 0.3999999999999999	喝 0.29999999999999993	舀出 0.19999999999999996	拿出 0.09999999999999998
RESULT	剩菜.v 2103007015	剩菜 1.0	菜 0.9	水 0.8	盐 0.7	血 0.6	汤 0.5	剩饭 0.3999999999999999	残渣 0.29999999999999993	余盐 0.19999999999999996	蔬菜 0.09999999999999998
RESULT	扫.v 2103008007	扫 1.0	扫射 0.9	扫荡 0.8	清扫 0.7	扫倒 0.6	扔 0.5	抛 0.3999999999999999	洒 0.29999999999999993	清理 0.19999999999999996	冲 0.09999999999999998
RESULT	入.v 2103008008	入 1.0	射入 0.9	进 0.8	入海 0.7	倒入 0.6	射进 0.5	落入 0.3999999999999999	回到 0.29999999999999993	射到 0.19999999999999996	倒进 0.09999999999999998
RESULT	回航.v 2103009007	回航 1.0	回 0.9	返 0.8	返航 0.7	出 0.6	来 0.5	起 0.3999999999999999	出航 0.29999999999999993	起航 0.19999999999999996	出港 0.09999999999999998
