RESULT	增救.v 2100005001	救 2.360103017165401	保护 1.7931066188209615	保住 1.736622187260124	杀 1.544793045988785	生杀 1.5016750371595946	护 1.4228846120780734	放 1.4215957318614216	接 1.3371678831635874	延接 1.3201661652760588
RESULT	出厂.v 2102010007	进厂 2.38636929200347	出口 2.3186645730391864	原厂 2.259335175451073	出品 2.2467816442379496	进口 2.235338345389958	入口 2.2093668385583416	入库 2.197780955684074	本厂 2.1952005229915916	现场 2.16528557888441	一台 2.138097855946271
RESULT	出厂.v 2102012004	出货 2.4492405796517867	进厂 2.3922390112181082	生产 2.360509204292369	出产 2.305832394953373	发货 2.2084017236851516	进货 2.1592282724167893	出 2.156163993626877	上市 2.0809500803631593	销售 2.071346647281294	进口 2.066937049539434
RESULT	所属.v 2102009001	下属 2.9305767926629267	所辖 2.9300701205457544	属下 2.839311460871812	附属 2.8220918657747296	直属 2.7871413007687464	旗下 2.715456872763024	辖下 2.7033856314770612	属 2.6977345129042614	所有 2.6905763778134792	隶属 2.6805128848239583
RESULT	落到实处.v 2102009010	落实 2.8770791514332688	落地 2.6516330462034734	实现 2.633485179416373	做好 2.6253428650319797	到位 2.6109620891361076	落到 2.6032859695700896	实处 2.5921563843080797	扎实 2.537578694191989	完成 2.5100465865516086	抓好 2.5047402325133903
RESULT	细小.v 2102009013	细微 3.085695425471365	微小 3.0573854024523452	最小 2.895987986067545	很小 2.887030867988803	微细 2.8845133144835873	小小 2.8780631815104956	简单 2.821772035250447	小 2.79145359256338	细节 2.7818951638890392	短小 2.7542349864518583
RESULT	事情.v 2102009015	事 2.9400644346723777	小事 2.892270753766629	事物 2.8750586926991226	工作 2.8331912657752594	事件 2.8146855948802214	工事 2.7324766167130186	东西 2.7130280754620695	问题 2.695570751666495	地方 2.6696662903745767	细节 2.6692644458629333
RESULT	事情.v 2103018019	事 2.982520424327641	问题 2.878460921463045	事件 2.683698104181574	话题 2.611704016409078	东西 2.5876906168383282	现象 2.544615082162058	情况 2.5114861291624115	工作 2.5065124102997824	事实 2.4841514936013893	地方 2.4605150269299676
RESULT	执行.v 2102009020	实行 2.9284295986015847	遵守 2.8837009680855754	遵行 2.852834002500834	实施 2.839861667788586	履行 2.835582501082776	遵循 2.815729969772968	落实 2.782705225523695	按照 2.7272774626791505	执照 2.681715423347625	践行 2.6762041526929994
RESULT	一丝一毫.v 2102009027	一丝 2.7949469590627802	丝毫 2.750542200705281	一毫 2.743380822080285	千丝万缕 2.684749463622828	一点 2.5942787158105416	细微 2.5570844975304854	点滴 2.5138457932673903	毫厘 2.4553719895815735	细小 2.446135123155955	任何 2.398305010046456
RESULT	隐患.v 2102009030	问题 2.907280277122606	风险 2.8876733789847164	危险 2.848171757047695	隐忧 2.8457172001363085	障碍 2.824653345568035	危害 2.822715452948873	忧患 2.818169635097738	瑕疵 2.8037538924941647	疑问 2.708924703749139	污染 2.7031476299628134
RESULT	放过.v 2102009033	放手 2.7733203268258237	放 2.70657705470245	留下 2.685139484984265	带过 2.6608221997013044	放心 2.6425534557638866	抛弃 2.641902579164976	丢掉 2.62936457991964	留 2.5950388766260333	舍弃 2.5673299385223327	留心 2.560958323953635
RESULT	放过.v 2102015007	放弃 3.3323838849691705	放下 3.190111593740723	留过 3.1443177251254255	丢失 3.132027464195105	丢弃 3.1042921796799052	让步 3.080623640425691	放 3.044469330177127	留神 3.0181504715477323	丢 2.973716239614053	留情 2.9665651440973635
RESULT	分厂.v 2102010002	工厂 2.4753025563270596	分校 2.3944461685736242	总厂 2.3817721829511553	分店 2.378084494964433	该厂 2.375327619597998	本厂 2.341340008993917	公司 2.2936957460431597	全厂 2.2925211286185543	部门 2.259290871020767	各厂 2.2574437621715195
RESULT	分厂.v 2102013006	工厂 2.4738636055728933	总厂 2.4624081194408993	分店 2.4613954418933193	分校 2.4376221391833917	该厂 2.401306855294565	分 2.3922877970136893	本厂 2.3889212630905194	各厂 2.315700114563983	公司 2.265499243003612	我厂 2.2582399479435553
RESULT	分厂.v 2102015012	总厂 3.3110299753852983	工厂 3.297142796526753	分店 3.2752281647133388	公司 3.2549915923290302	本厂 3.24038065508029	厂 3.2397370130731185	分校 3.2019652787421484	全厂 3.131425622889907	各厂 3.1236882621457354	部门 3.066746687764586
RESULT	进行.v 2102010009	做 2.28713507802377	开展 2.2868909087994553	实施 2.2779833546023593	作出 2.2668824450642915	实行 2.2567967105122864	举行 2.241358327498128	做出 2.2116335225495947	作 2.1960713507251572	完成 2.189884958810311	加以 2.184565237532648
RESULT	进行.v 2102013016	实行 2.464580715413495	实施 2.450269997557813	作出 2.410888932684797	做 2.3989020388756117	举行 2.3794546797253835	加以 2.358774093647621	作 2.3360116552168	完成 2.2940997713290057	加强 2.240023896683099	行 2.2283648181665896
RESULT	检测.v 2102010010	检验 2.5146520757698085	检查 2.4934798103252884	测试 2.4875004823785423	测量 2.4172609143088195	监测 2.3786399711896498	试验 2.2683489728054984	评测 2.248569915895271	勘测 2.2425361070786933	复测 2.23953263346374	测测 2.2338949760367943
RESULT	检测.v 2102013001	检验 2.568668991556065	测试 2.5199546138890754	检查 2.5056648428671595	监测 2.4973429084106757	测量 2.4438071993091715	勘测 2.417379603246086	评测 2.3817630286472493	调查 2.3575662071916446	测测 2.352271932687807	质检 2.3414697417592536
RESULT	检测.v 2102013017	检查 2.602063242164601	检验 2.591125303196223	测试 2.5662582892143733	监测 2.4738981356348555	测量 2.4654805436071863	试验 2.3999445712700065	验收 2.398227446359283	验证 2.3900017751761036	抽检 2.383164816934974	评测 2.370772498342504
RESULT	稳定器.v 2102010018	稳定 2.419079477250678	固件 2.207010464200197	固定 2.2049143610568316	螺杆 2.129626027415582	配件 2.127115382620938	电源 2.126135379300956	测器 2.1052712036390178	轴线 2.092405093110612	轴向 2.056915832953308	正线 2.0516233816988714
RESULT	外带.v 2102010020	外壳 2.421794630684873	外接 2.391706471731001	带 2.36592028528462	边带 2.293338049798619	夹带 2.272891415068473	面带 2.247859734800247	外 2.234245639575831	边缘 2.2182492742931945	内部 2.2117322999590767	出口 2.1887459181917253
RESULT	尺寸.v 2102010028	规格 2.4021220410951813	尺度 2.3157074744230055	大小 2.3078529783972535	长度 2.298010962316699	宽度 2.2464084139600153	方寸 2.244807988764772	型号 2.2281120294957923	英寸 2.200646636018455	的 2.191458733619608	标尺 2.1411800771943863
RESULT	误差.v 2102011006	错误 2.8879324367296797	偏差 2.702592201818291	差距 2.485127461658176	差异 2.452576300599851	失误 2.3873730640856654	差值 2.1401408889191043	漏洞 2.1207546281842986	损失 2.0771947896029546	差 2.071839520830417	偏移 2.0328961241144947
RESULT	允许.v 2102011008	容许 2.233258392398943	准许 2.1735107697980256	应允 2.1161393388187957	可以 2.096703123103011	可能 2.0877410257874227	许可 2.0299893690862345	适当 2.0098746621326433	容忍 1.973655460633012	禁止 1.881024235623394	容易 1.840804675084918
RESULT	还是.v 2102012006	或是 2.2728487675989855	或者 2.2650928722312793	或 2.225278695434227	抑或 2.122347926983024	又是 2.103127698602828	是 2.0925273102553392	是否 2.0052168411715545	仍然 1.8323632978652034	还要 1.8196339490275262	而非 1.7933809829634362
RESULT	定.v 2102012007	认定 2.563991742043681	确定 2.5217776422123954	定性 2.4796997431826195	作 2.449466569582285	认 2.430070047584893	否定 2.4136324748517595	判定 2.4066074640180406	指定 2.397060171257611	称 2.2685873073657565	定为 2.2652846404632117
RESULT	不合格品.v 2102012009	合格 1.927970602477561	废品 1.8411700138993057	假货 1.7771942426720377	假品 1.743627999913078	违规 1.7084053457343444	无法 1.6939018915692248	无效 1.6936316813935932	劣质 1.662785588752688	非标 1.6606588395829733	正品 1.6465549638477661
RESULT	不合格品.v 2102013035	合格 2.5668009479301555	劣质 2.449855245163203	劣品 2.4309831504969717	假品 2.3945763243206515	伪品 2.3017671233734056	废品 2.2986839291186127	正品 2.257186957526668	不良 2.2515524201957176	异常 2.2409597870192384	假货 2.2350395607041147
RESULT	不合格品.v 2102014015	缺陷 1.9717787581477908	问题 1.9689707018352474	差错 1.8396167025614338	低劣 1.8360357860999441	不符 1.8357576846240449	错误 1.835657267611063	超标 1.7939133564248422	不良 1.7877566652399066	差异 1.7685602534825766	下降 1.7383913432156377
RESULT	正当.v 2102013000	正在 2.5104770800436564	当 2.4738964520768643	恰当 2.432914975835009	在 2.3202724054554107	直到 2.2696542104293904	恰逢 2.2614867604103694	正 2.259671234599289	待 2.2587434221364715	当在 2.2279723018137583	刚在 2.119839470219961
RESULT	左右为难.v 2102013003	为难 2.391927135275351	困惑 2.3383035343355507	困扰 2.321179606509112	不安 2.297703875666529	困难 2.289805366286534	不解 2.238928893970934	恐慌 2.2264444872182696	焦急 2.2111975504476877	不满 2.2111965895656205	紧张 2.2089328175195844
RESULT	赶到.v 2102013008	来到 2.5876324213055333	赶赴 2.508908697440508	赶往 2.4912020694866914	走到 2.4556933739723394	跑到 2.4357293190141043	前往 2.4065035414053018	到 2.3951124645143245	回到 2.3748540136390233	前来 2.3562229382636515	奔赴 2.3531371400211043
RESULT	亲自.v 2102013011	亲身 2.509978705372638	亲眼 2.3576155926976567	独自 2.3367386135545787	自己 2.3125095641859805	专门 2.287477383228201	直接 2.277823104112864	自行 2.2605465051205744	主动 2.2034313207915655	负责 2.178200831042885	分别 2.174030270942657
RESULT	果断.v 2102013019	坚决 2.4419126742075026	决断 2.4016417078028742	坚定 2.3773417926209306	勇敢 2.3665161872149514	迅速 2.364513969560736	判断 2.3407240342417426	诚恳 2.3362748720938087	确切 2.3064645710242315	诚实 2.304403170794284	毅然 2.2866585028095736
RESULT	报告单.v 2102013023	报告 2.764569058276836	报表 2.5362990357819895	清单 2.4329810288738054	表单 2.4132996863950256	表格 2.3657707218517534	证书 2.3600090784093655	文件 2.3562760142157484	公告 2.3505314488685842	记录 2.350062385914402	结果 2.3313527120116464
RESULT	如下.v 2102013028	以下 2.629881062131783	下列 2.498923372588303	下述 2.4889932574789144	下面 2.3993623619485276	上述 2.360304639373019	如上 2.3247180390487694	这个 2.2921172236714358	一条 2.291989887628821	以上 2.29148878401973	一下 2.2908182786810425
RESULT	意见.v 2102013029	观点 2.47785790940375	建议 2.464140921472445	见解 2.423769615999893	评论 2.363602334222449	决议 2.345461314027216	评价 2.3326358931807323	解释 2.3175010371423066	理由 2.31642932123078	提议 2.308294730469802	态度 2.2975812152842505
RESULT	责成.v 2102013037	责令 2.640544753595633	要求 2.400911466129749	责任 2.3360261511714526	负责 2.328837288917693	命令 2.314724064227545	委托 2.2733592423366074	通知 2.270812667243025	由 2.264706034187922	任由 2.246169861487632	请 2.22847888109891
RESULT	有关.v 2102013038	相关 2.617851875836035	相应 2.346101052125623	无关 2.307910746899865	所有 2.2849825046714693	有 2.2402368163861164	主要 2.2207696323867485	关键 2.2148449535306884	其他 2.1932321071947833	有限 2.1868543747570697	相当 2.182708459884323
RESULT	有关.v 2104015012	相关 3.0250856035209615	各级 2.7675140433348937	各 2.734683017823918	主管 2.7161068034613187	无关 2.7135786289424972	所有 2.658398727044215	政府 2.6559593534879524	相应 2.6547602209560064	公关 2.645766524717389	县级 2.6283762681816736
RESULT	有关.v 2107007002	相关 3.0717875240912056	主管 2.6403501327867884	各级 2.607158961365349	各 2.5639855717408264	政府 2.5605600228013783	管理 2.543362169009643	一些 2.506493115284162	相应 2.4661744895143736	公安 2.4403933123715618	公关 2.4132214479358884
RESULT	处理.v 2102013041	处置 2.514818364889528	办理 2.4250938862020446	治理 2.423077039645827	管理 2.379729431696285	解决 2.3621028592370625	清理 2.3296381548452767	审理 2.322794219117651	修理 2.3144908260581754	处罚 2.311640290008307	调查 2.2997068593347882
RESULT	召开.v 2102014004	召集 2.252793149388837	举行 2.2334768315992455	开 2.098253860017126	组织 2.0381045237718918	举办 1.992451995681128	参加 1.9792832288627786	出席 1.9614876683165456	主持 1.925613586140178	进行 1.9225736281382175	启动 1.9202516475402325
RESULT	大会.v 2102014006	会议 2.307245378705107	会 2.202734995893661	集会 2.057179959169546	议会 2.0566078202551186	工会 2.0500819703008317	总会 2.03261777007983	协会 2.0285647983009416	年会 1.9882769572131718	公会 1.9778987329614688	会谈 1.9243873066099781
RESULT	一起.v 2102014011	一同 2.2980850464178317	共同 2.2097876664307825	合作 1.8899075174500517	分别 1.8593352209314633	联合 1.8215197387428899	开会 1.7994969454991638	一一 1.7947077943797831	合力 1.7749216306123117	再次 1.7509910730788896	同时 1.7499137432994334
RESULT	讨论.v 2102014012	探讨 2.3230229817017527	商讨 2.3127224692228454	谈论 2.2417767486784053	商议 2.16911060512522	研究 2.133972194908721	商量 2.1192423470834925	议论 2.101005787676458	分析 2.0913708228331984	研讨 2.0588555920559313	争论 2.0522497680459613
RESULT	出现.v 2102014013	产生 2.3247288811375473	存在 2.1753873075545975	发生 2.1381009445359775	发现 2.0926753760148844	了 2.011039476439931	有 1.9590271129370302	面临 1.9398995102902128	制造 1.9188107434846537	出 1.9075873546293296	生产 1.9020010246630341
RESULT	正是.v 2102015000	就是 3.3749451189486175	正 3.136280830048439	是 3.107997029894381	只是 3.0336581422384787	只有 2.9852884513128917	也 2.9735504025673984	而是 2.96695616700512	更是 2.966879582301786	恰恰 2.936667070929616	正好 2.930439781775685
RESULT	精神.v 2102015009	心态 3.1567991825410897	意志 3.1347369600832113	心 3.1261457286261876	品质 3.12322675315134	神 3.0974329952597284	精髓 3.0716397407276266	意识 3.0654044840896786	神气 3.046797892098325	技术 3.0411341384062247	勇气 3.0195612416658935
RESULT	钻具.v 2102015015	钻头 3.351818673534389	钻床 3.315043808204734	工具 3.183612453540774	电钻 3.1416721972632677	模具 3.11232878763915	矿井 3.0434279875545673	机具 3.042464130870722	油井 3.0414506585778005	井下 3.0365248656236568	钻 2.9650938359603383
RESULT	合格率.v 2102015018	合格 3.2031748805012406	效率 3.0411656312527207	指标 3.030999022366519	效果 2.945667226982249	质量 2.917732669620228	指数 2.901933893782637	品质 2.8980881936339107	安全 2.890171912354163	信誉 2.8899394284078053	过程 2.8414962145355047
RESULT	保持.v 2102015020	维持 3.282315856310879	坚持 3.1452308336743	保证 3.1225091960749194	持续 3.121794614779584	达到 3.1098249351867415	保守 2.9997077723543244	稳定 2.9896751073080687	确保 2.95534231785747	处于 2.9497444884177506	高达 2.938097377478583
RESULT	先后.v 2102015023	连续 3.2395860997921746	多次 3.216413332902099	分别 3.1687573952833965	并 3.14084641553677	屡次 3.129151189608	已经 3.1269804915137067	已 3.1076645084941372	一直 3.0905905843730936	成功 3.0879252164370112	陆续 3.0488229699095424
RESULT	先后.v 2103017010	前后 1.9992188019394146	分别 1.9205230961952944	陆续 1.8938555782723452	已经 1.8334414053707466	共 1.8287976126482068	连续 1.7810274713033987	后来 1.7650105753111818	已 1.756044125903554	最后 1.720601686108373	先前 1.7159432784305668
RESULT	获得.v 2102015024	荣获 3.4611191608594267	得到 3.4374563401180795	取得 3.370026926785309	受到 3.356356785862604	通过 3.3493182487654676	获 3.3206706096177805	赢得 3.299716919037744	获取 3.24664504503701	被 3.243964184699517	达到 3.220066252284105
RESULT	认定.v 2102015030	认证 3.6540628219830094	认可 3.448121665488348	评定 3.4430223380774425	鉴定 3.4321220391263307	检定 3.33752103269507	确认 3.337147905192939	验证 3.2997427199425804	评价 3.273146981044413	评估 3.2555442099798007	保证 3.2436984696855187
RESULT	实践.v 2102016001	实际 2.3623911767218013	现实 2.2971574746746795	经验 2.291876664790109	工作 2.23106248349992	实战 2.2258276975559643	践行 2.1696333842958824	经营 2.108567846914018	执行 2.1041950465400237	运作 2.0413981386814797	生产 2.039991463359792
RESULT	体会.v 2102016005	体悟 2.4489025279371672	认识 2.4478624630601082	体验 2.442899951030842	感受 2.40646265622856	了解 2.3757244994038387	领悟 2.364522144785399	感悟 2.350597307973026	意识 2.346738871847553	领会 2.3453828461779	学习 2.243886186506937
RESULT	看作.v 2102016013	视为 2.748703926957144	当作 2.7332633653038063	作为 2.7307111018134966	看做 2.6324961507103164	当做 2.591412619218807	视作 2.584284066602209	当成 2.5292558732399177	做为 2.3972573318232984	比作 2.2533951492849846	称为 2.2447922548045396
RESULT	才能.v 2102016018	方能 2.3089584702542334	方可 2.1937368733637745	可以 2.0417907374702864	能够 2.0058558906527013	才 2.0041149071835838	能 1.7996147983365138	只能 1.7854714422783151	不能 1.735435800574734	只有 1.6795485115005968	怎能 1.6695819114952852
RESULT	岂是.v 2103000002	岂非 2.821757481139749	是 2.7598751938386807	就是 2.707653283371026	只是 2.580662832110581	不是 2.557870888460655	何为 2.496703963039603	竟是 2.4692571110468995	却是 2.438343841243095	莫非 2.246395055290549	不为 2.219403787955214
RESULT	岂是.v 2103020007	岂非 2.670973509427122	岂 2.2606286610932824	何为 2.2592400608434464	是 2.211380284020995	竟是 2.110743116621747	难道 2.109657029406022	不是 2.1089982185007825	却是 2.0404332180509477	何非 1.9746206225955412	没有 1.9485026698927144
RESULT	垃圾.v 2103000003	废物 2.5060809971440094	污水 2.3636450125673796	堆肥 2.277940094442866	废弃 2.2659891580588014	粪 2.2272319647572805	渣滓 2.2202893553068916	粪便 2.190666471265697	烂泥 2.1790620452562965	废 2.1358401350008895	杂物 2.1285388005384487
RESULT	垃圾.v 2103008006	废物 2.7104090175701794	废料 2.5517665659076756	污物 2.4016474039772717	废纸 2.3936350368031656	残骸 2.3868952495408746	杂物 2.3492159022663928	粪便 2.287111512557455	残渣 2.253146725518507	渣滓 2.210493572477183	污泥 2.206671642546391
RESULT	垃圾.v 2103010011	废物 1.9381262759479065	粪便 1.825610788926404	污泥 1.7625833343726498	污水 1.7535632734962991	杂物 1.7290021975387355	废水 1.7285362526531751	残渣 1.670557322807304	食物 1.6404921704569586	渣滓 1.6360731615309438	碎石 1.630311888931047
RESULT	垃圾.v 2103016007	废物 1.7220346672985305	废料 1.6633367720878507	废纸 1.5766183702436736	粪便 1.5462282702846726	污泥 1.5101238235966843	杂物 1.4598173434280013	物品 1.4279889971938142	碎片 1.4267493674837801	纸屑 1.424101363212962	碎屑 1.4224078315578006
RESULT	垃圾.v 2103017018	废物 1.9374387501937151	废料 1.8614268878393128	废纸 1.7650682474684756	污泥 1.76174460240867	粪便 1.75962303713483	杂物 1.7227950597244726	污物 1.7172057560174183	污水 1.7133442362637228	残渣 1.705353772257214	碎片 1.6827146993630557
RESULT	垃圾.v 2103018009	圾 2.5031429205716607	东西 2.500069385288283	废物 2.4991235297027363	粪便 2.4366835216760316	杂物 2.389409244651222	废料 2.3763316128966063	纸屑 2.3230909317719246	废纸 2.320540180790538	物品 2.3170757478856996	碎石 2.2714305904209624
RESULT	垃圾.v 2103019017	废物 1.808137628212118	碎屑 1.7758924295120435	杂物 1.7306206523843446	污泥 1.7228522326936602	渣滓 1.7081931750727677	粪便 1.7062330497558815	污物 1.7018884100201022	碎片 1.7018167821906658	污水 1.6891398940459346	残渣 1.6836260244367647
RESULT	垃圾.v 2103020008	废水 2.0732386812568127	污水 2.066921415890201	废弃 2.0556667820810284	污泥 2.029284601456099	泥沙 1.9763695171326208	粪 1.9542626509814205	渣滓 1.940554986231287	圾 1.9163460417865912	残渣 1.897748753073624	烂泥 1.8809027075895888
RESULT	垃圾.v 2103023011	废物 2.9785991517836083	污泥 2.7870626528779834	废纸 2.7413672114715677	渣滓 2.693398528439341	污物 2.6790359303996882	杂物 2.6525168631464227	残渣 2.641916682908561	碎屑 2.636406095422277	污水 2.63555913863571	碎石 2.6346500773963992
RESULT	垃圾.v 2103024018	废物 2.7197078543595294	废品 2.6081713382736305	废纸 2.5269624213148063	污泥 2.3748515995402246	污水 2.3707104757243536	物品 2.3679448232574822	东西 2.358790003492225	渣滓 2.352925294908856	货物 2.323450289194228	塑料 2.287702399897628
RESULT	坑.v 2103000004	场 2.7178077732008195	堆 2.7122674244259533	池 2.683859513631827	沟 2.4956633766239644	地 2.4085344289062336	大坑 2.3225933210871017	湖 2.266549736390833	码头 2.2493220327303662	地方 2.112798745840316	大坝 2.0304864941477163
RESULT	坑.v 2103020009	堆 2.3884454838032756	池 2.3717977364186535	场 2.3220644994769515	洞 2.2488270966859796	沟 2.1750208914337374	堆场 2.0394260268940982	洼地 1.9873163077809506	湖 1.9186215223527614	池塘 1.8783906429545296	河 1.8438800107030855
RESULT	见闻.v 2103000009	观察 2.742774012014926	视频 2.701764807502836	视野 2.6374356539191526	见识 2.6264265204769117	经历 2.620553647934601	视角 2.6063046163662626	趣闻 2.600289243737987	新闻 2.5696799353374016	看见 2.5562135098719208	见 2.5251625228472396
RESULT	附.v 2103000011	另附 2.8172616771211563	附上 2.7699532687989468	附有 2.568115978774614	有 2.465371059513326	另有 2.4537541660113353	包含 2.3746146240851234	含 2.3600903027817135	包括 2.3592517098619963	另加 2.3113503880308435	加上 2.2725732256683715
RESULT	图片.v 2103000012	图 3.1545689181639203	照片 2.804084714286568	图像 2.611048995434705	照 2.4825906576150154	影片 2.450179224972462	原图 2.4076707932421586	片 2.407160657952185	相片 2.3726881135289943	大图 2.3549428907987675	上 2.344315980830673
RESULT	查清.v 2103001001	查明 3.382285560823104	找出 3.2035532763100214	确定 3.1675238879242276	调查 3.1500909449114762	找到 3.146931466173424	了解 3.1321837152814656	摸清 3.1225494936578952	清楚 3.114682634499144	清理 3.0726438926810986	检查 3.0672443307059427
RESULT	达.v 2103001016	达达 2.8890439321193817	长达 2.6872176665090013	约 2.6734579976597974	超过 2.468960776349051	于 2.4508048280953663	逾 2.4306855757669013	期 2.4136793013026727	大约 2.4055222617140437	超 2.398436185336947	过 2.31665832232972
RESULT	达.v 2104001016	达到 2.8546641899957397	可达 2.7864737792419394	高达 2.7576466466646066	超过 2.6339261864823706	为 2.595094148103889	多达 2.584240091006481	约 2.4991971250791125	有 2.491387991674885	在 2.314161726693488	逾 2.298420775626803
RESULT	达.v 2104004018	达到 2.6696379496391605	高达 2.6562133121697213	有 2.6261038443308493	多达 2.5527782004735333	经 2.489095615693299	为 2.4724047918396206	超过 2.4319861071914373	到达 2.41282504803845	增至 2.4081755219562226	是 2.3720303986277593
RESULT	达.v 2105008004	得 2.2334887274329955	做 2.2084582001974464	达到 2.1621944061159093	拿 2.1334840659259307	远达 2.0967878856924433	找 2.0721824356109493	超 2.066850580220122	看 1.9568698140553122	已经 1.8506956013115698	远远 1.818400824752032
RESULT	观察.v 2103001019	观测 3.08319680184667	视察 2.954301872060806	考察 2.8893678292800313	察看 2.884040907414511	观看 2.8830072041430084	检查 2.8794842105372505	勘察 2.8680330251905652	监测 2.860658507105349	研究 2.8435247775141854	监视 2.819790470735278
RESULT	目睹.v 2103001021	观察 3.1577931680707345	见证 3.120607932090367	看到 3.1204920011504815	观看 3.052797516029453	视察 2.9415894374932545	见到 2.9214676969479347	察看 2.9058583991207207	记录 2.9053299477990397	亲睹 2.845603686954893	看见 2.8376681773815764
RESULT	客轮.v 2103001024	客船 3.2169309424100305	货轮 3.0319671360077196	游轮 3.0001273051906554	客车 2.9239550970373145	船只 2.920142131582198	邮轮 2.888699187595482	船舶 2.8733331162138915	轮船 2.8639873359277757	货船 2.8474953718408047	船 2.8319483824214267
RESULT	客轮.v 2103002008	客船 3.3268921453886997	货轮 2.9824619621712123	船 2.9121181602263215	游轮 2.8709714617127555	渡轮 2.8041603113000977	轮船 2.7910569812315953	游艇 2.7325396964624757	货船 2.70540065745219	邮轮 2.6752797128249926	游船 2.6710922413676825
RESULT	客轮.v 2103005007	货轮 2.969384302672172	客船 2.908530913180968	汽轮 2.5498433718615283	游轮 2.531881327086288	轮船 2.517288765746018	邮轮 2.4833239079650107	船舶 2.4599954763082654	船 2.454121580294784	汽车 2.4172293214369973	班轮 2.411567676407217
RESULT	客轮.v 2103009004	客船 2.8012917421955845	货轮 2.629681783305867	游轮 2.519192392428795	邮轮 2.4071572073930634	飞船 2.3994584347689396	班轮 2.367462610185491	飞轮 2.367048197745952	小轮 2.3408105863667865	汽轮 2.337724497006473	货船 2.3288003861399136
RESULT	客轮.v 2103015014	客船 3.6167868246811112	货轮 3.3492366840154477	游轮 3.2654500882860535	船 3.200882440300248	轮船 3.1755476117277475	邮轮 3.105079016091594	船只 3.1008883957343025	游艇 3.0981268310563377	班轮 3.090732336502118	货船 3.058529923981679
RESULT	客轮.v 2103017007	客船 2.1187707677911556	货轮 1.9759395216072915	客车 1.8832618331253907	游轮 1.8714836981763128	渡轮 1.8331814447192645	班轮 1.7874663683626868	轮船 1.7862654246613634	船 1.7657752120824746	邮轮 1.761800077956253	货船 1.716721632790973
RESULT	情形.v 2103001029	情况 3.4019587331577243	情景 3.253261164112975	状况 3.1687862974361334	场景 3.0644722739127292	景象 3.0464526631737763	形势 3.0355647695931647	现状 3.0146047152141895	状态 3.0125399685566157	场面 2.9603462324514167	景况 2.941257060638628
RESULT	进入.v 2103002011	驶入 3.2072554098240156	通过 2.929305289056125	开进 2.8506568498315827	开入 2.8499087953497093	到达 2.82237367084474	入 2.7959836770326145	到 2.686425826361613	出入 2.6754940799932054	进出 2.6735189391773817	冲入 2.670052831057088
RESULT	闸室.v 2103002012	船闸 3.1138683078899385	舱室 2.9693437882362232	门厅 2.9550644921051363	船舱 2.9000126969014346	大门 2.889893441683345	机舱 2.8663653282919697	门房 2.847765568767112	港口 2.837450303402028	舱内 2.829217154326547	航道 2.759154635547518
RESULT	闸室.v 2103010013	舱室 2.0384466358037097	船舱 2.0030189285113935	舱内 1.9472892268835618	机舱 1.9062144212594254	舱门 1.9037204655355007	仓库 1.8920392654204767	门内 1.8605315667325308	阀门 1.8385001325670018	水箱 1.829573426773341	泵房 1.8105988842028786
RESULT	闸室.v 2103023002	泵房 2.7593368234435918	大门 2.618345681355393	阀门 2.5744717955758976	闸 2.5389539387591626	隧道 2.5214419451772208	大厅 2.5036577511729496	仓库 2.4925460424412913	浴室 2.4858706409847753	大楼 2.4632478028278126	站房 2.430679732742254
RESULT	右舷.v 2103003007	左舷 2.0334570524731146	右侧 1.8996305153687967	舷窗 1.8387850170583868	右舵 1.7910893037095856	舷侧 1.7581686523041375	左侧 1.7163654420129786	侧翼 1.6973719267588234	侧面 1.6573601956333648	两侧 1.6535734324818525	前舱 1.640216645319673
RESULT	闸.v 2103003009	闸门 2.1029445411092977	车闸 1.981623301444713	船闸 1.981420306957638	水闸 1.964702409560062	大闸 1.9556546030610207	闸口 1.896564334764035	舱 1.8338680133883536	大门 1.7492845979487308	桥 1.743981844670308	机舱 1.6882937821810475
RESULT	闸.v 2103013003	闸门 3.06161916713397	车闸 2.9627979559033553	大闸 2.91390850890715	船闸 2.9082297483325057	水闸 2.803739238511869	闸口 2.7892042659810565	门 2.7839817129509132	通道 2.731488173828405	大门 2.65261348962377	舱 2.6307224146096173
RESULT	闸.v 2103017014	闸门 1.9856751145005753	船闸 1.9665160222943656	大闸 1.9121164384040434	水闸 1.911666111205359	门 1.8635334702148834	闸口 1.837155740793297	车闸 1.834988375298686	舱 1.726496742723954	船 1.7235103104164542	大门 1.7223442072130717
RESULT	闸.v 2103024023	闸门 2.9281169941697436	闸口 2.7235489063537432	门 2.659001725454202	阀门 2.5805686340417524	大闸 2.576566884761815	电闸 2.5077140410364698	车闸 2.4867995739337987	水槽 2.423816461036166	大门 2.396706932231339	水箱 2.3812287206540703
RESULT	丢.v 2103003011	扔 2.069815142043154	抛 1.9401946053415635	放 1.7672302191889917	投 1.7598894789504433	拿 1.6980602737980137	丢下 1.5316624313723117	砸 1.4237368688237806	抛扔 1.2834449990108987	丟 1.230380210064594	抛掉 1.1457376480930745
RESULT	丢.v 2103027008	扔 3.1061153792357103	抛 2.8439921477908965	掷 2.425238301289276	放 2.2179045952858334	砸 2.144491191726783	递 2.126645004584007	丢掷 2.0565206023527893	丟 1.5318660653699083
